Year,Month,Day,Daily PNA Value
1950,4,23,-0.350
1950,4,24,-0.178
1950,4,25,-0.172
1950,4,26,-0.289
1950,4,27,-0.200
1950,4,28,-0.018
1950,4,29,-0.026
1950,4,30,-0.574
1950,5,1,-1.016
1950,5,2,-1.147
1950,5,3,-1.252
1950,5,4,-1.378
1950,5,5,-1.136
1950,5,6,-0.945
1950,5,7,-0.752
1950,5,8,-0.896
1950,5,9,-0.845
1950,5,10,-0.324
1950,5,11,0.074
1950,5,12,0.173
1950,5,13,0.455
1950,5,14,0.543
1950,5,15,0.642
1950,5,16,0.660
1950,5,17,0.508
1950,5,18,0.339
1950,5,19,0.210
1950,5,20,0.416
1950,5,21,0.404
1950,5,22,-0.082
1950,5,23,-0.343
1950,5,24,-0.010
1950,5,25,0.059
1950,5,26,-0.355
1950,5,27,-1.018
1950,5,28,-1.117
1950,5,29,-1.331
1950,5,30,-1.157
1950,5,31,-0.836
1950,6,1,-0.795
1950,6,2,-0.851
1950,6,3,-0.916
1950,6,4,-1.234
1950,6,5,-1.340
1950,6,6,-1.430
1950,6,7,-1.196
1950,6,8,-1.096
1950,6,9,-0.933
1950,6,10,-0.919
1950,6,11,-1.127
1950,6,12,-1.103
1950,6,13,-1.111
1950,6,14,-1.012
1950,6,15,-0.466
1950,6,16,0.279
1950,6,17,0.423
1950,6,18,0.504
1950,6,19,0.300
1950,6,20,-0.008
1950,6,21,-0.701
1950,6,22,-1.343
1950,6,23,-1.611
1950,6,24,-1.517
1950,6,25,-1.159
1950,6,26,-0.712
1950,6,27,-0.297
1950,6,28,0.183
1950,6,29,0.346
1950,6,30,0.338
1950,7,1,0.360
1950,7,2,-0.183
1950,7,3,-0.660
1950,7,4,-0.343
1950,7,5,0.021
1950,7,6,-0.033
1950,7,7,-0.727
1950,7,8,-1.125
1950,7,9,-0.433
1950,7,10,0.097
1950,7,11,0.081
1950,7,12,-0.028
1950,7,13,-0.030
1950,7,14,-0.320
1950,7,15,-0.751
1950,7,16,-0.564
1950,7,17,-1.048
1950,7,18,-1.549
1950,7,19,-1.404
1950,7,20,-0.546
1950,7,21,-0.293
1950,7,22,-0.377
1950,7,23,-0.295
1950,7,24,0.073
1950,7,25,0.367
1950,7,26,0.435
1950,7,27,0.058
1950,7,28,-0.738
1950,7,29,-1.275
1950,7,30,-1.217
1950,7,31,-0.719
1950,8,1,-0.521
1950,8,2,-0.517
1950,8,3,-0.655
1950,8,4,-0.859
1950,8,5,-1.196
1950,8,6,-1.167
1950,8,7,-0.722
1950,8,8,-0.786
1950,8,9,-0.989
1950,8,10,-1.179
1950,8,11,-0.990
1950,8,12,-0.608
1950,8,13,-0.435
1950,8,14,-0.088
1950,8,15,0.143
1950,8,16,0.624
1950,8,17,0.837
1950,8,18,0.795
1950,8,19,0.724
1950,8,20,0.948
1950,8,21,0.920
1950,8,22,1.262
1950,8,23,1.817
1950,8,24,2.298
1950,8,25,2.285
1950,8,26,1.914
1950,8,27,1.788
1950,8,28,1.541
1950,8,29,1.015
1950,8,30,0.349
1950,8,31,-0.231
1950,9,1,-0.548
1950,9,2,-0.876
1950,9,3,-0.778
1950,9,4,-0.672
1950,9,5,-0.868
1950,9,6,-1.039
1950,9,7,-1.167
1950,9,8,-1.074
1950,9,9,-0.799
1950,9,10,-0.841
1950,9,11,-0.720
1950,9,12,-0.638
1950,9,13,-0.768
1950,9,14,-0.840
1950,9,15,-0.329
1950,9,16,0.096
1950,9,17,0.301
1950,9,18,-0.019
1950,9,19,-0.074
1950,9,20,-0.203
1950,9,21,-0.712
1950,9,22,-0.777
1950,9,23,-0.927
1950,9,24,-1.201
1950,9,25,-1.278
1950,9,26,-1.047
1950,9,27,-0.527
1950,9,28,-0.109
1950,9,29,0.492
1950,9,30,1.230
1950,10,1,-0.025
1950,10,2,0.264
1950,10,3,0.998
1950,10,4,1.869
1950,10,5,1.697
1950,10,6,0.911
1950,10,7,0.467
1950,10,8,0.683
1950,10,9,0.570
1950,10,10,-0.015
1950,10,11,-0.333
1950,10,12,-0.056
1950,10,13,0.095
1950,10,14,0.014
1950,10,15,-0.257
1950,10,16,-0.360
1950,10,17,-0.548
1950,10,18,-0.506
1950,10,19,-0.494
1950,10,20,-0.464
1950,10,21,-0.313
1950,10,22,-0.083
1950,10,23,0.204
1950,10,24,0.279
1950,10,25,0.467
1950,10,26,0.481
1950,10,27,0.364
1950,10,28,0.281
1950,10,29,0.161
1950,10,30,0.498
1950,10,31,0.585
1950,11,1,0.272
1950,11,2,0.041
1950,11,3,0.293
1950,11,4,0.064
1950,11,5,-0.587
1950,11,6,-0.859
1950,11,7,-0.929
1950,11,8,-0.640
1950,11,9,-0.297
1950,11,10,-0.422
1950,11,11,-0.721
1950,11,12,-1.431
1950,11,13,-2.118
1950,11,14,-2.324
1950,11,15,-2.096
1950,11,16,-1.480
1950,11,17,-0.977
1950,11,18,-0.900
1950,11,19,-1.128
1950,11,20,-1.209
1950,11,21,-1.264
1950,11,22,-1.308
1950,11,23,-1.169
1950,11,24,-1.106
1950,11,25,-1.126
1950,11,26,-0.878
1950,11,27,-0.627
1950,11,28,-0.760
1950,11,29,-1.130
1950,11,30,-1.361
1950,12,1,-1.868
1950,12,2,-1.781
1950,12,3,-1.513
1950,12,4,-1.526
1950,12,5,-0.804
1950,12,6,-0.399
1950,12,7,-0.606
1950,12,8,-0.581
1950,12,9,-0.297
1950,12,10,0.027
1950,12,11,0.249
1950,12,12,0.345
1950,12,13,0.351
1950,12,14,0.265
1950,12,15,0.137
1950,12,16,0.171
1950,12,17,0.277
1950,12,18,0.259
1950,12,19,0.444
1950,12,20,0.641
1950,12,21,0.622
1950,12,22,0.623
1950,12,23,0.855
1950,12,24,0.918
1950,12,25,0.720
1950,12,26,0.608
1950,12,27,0.557
1950,12,28,0.352
1950,12,29,0.150
1950,12,30,-0.114
1950,12,31,-0.291
1951,1,1,-0.375
1951,1,2,-0.524
1951,1,3,-0.263
1951,1,4,0.047
1951,1,5,0.246
1951,1,6,0.540
1951,1,7,0.626
1951,1,8,0.456
1951,1,9,0.198
1951,1,10,-0.063
1951,1,11,-0.372
1951,1,12,-0.462
1951,1,13,-0.642
1951,1,14,-0.856
1951,1,15,-0.916
1951,1,16,-0.871
1951,1,17,-1.050
1951,1,18,-1.277
1951,1,19,-0.976
1951,1,20,-0.743
1951,1,21,-0.615
1951,1,22,-0.380
1951,1,23,-0.261
1951,1,24,0.078
1951,1,25,0.320
1951,1,26,0.258
1951,1,27,-0.121
1951,1,28,-0.213
1951,1,29,-0.065
1951,1,30,0.090
1951,1,31,0.197
1951,2,1,0.201
1951,2,2,0.149
1951,2,3,-0.004
1951,2,4,-0.107
1951,2,5,-0.081
1951,2,6,0.163
1951,2,7,0.290
1951,2,8,0.269
1951,2,9,0.353
1951,2,10,0.138
1951,2,11,-0.174
1951,2,12,-0.037
1951,2,13,0.142
1951,2,14,-0.045
1951,2,15,-0.382
1951,2,16,-0.635
1951,2,17,-0.723
1951,2,18,-0.924
1951,2,19,-0.998
1951,2,20,-0.813
1951,2,21,-0.694
1951,2,22,-0.900
1951,2,23,-1.273
1951,2,24,-1.569
1951,2,25,-1.742
1951,2,26,-1.643
1951,2,27,-1.611
1951,2,28,-1.498
1951,3,1,-1.537
1951,3,2,-1.510
1951,3,3,-1.723
1951,3,4,-1.848
1951,3,5,-1.646
1951,3,6,-1.226
1951,3,7,-1.031
1951,3,8,-0.967
1951,3,9,-0.951
1951,3,10,-0.567
1951,3,11,0.053
1951,3,12,0.539
1951,3,13,0.455
1951,3,14,0.258
1951,3,15,-0.236
1951,3,16,-0.504
1951,3,17,-0.170
1951,3,18,0.090
1951,3,19,0.016
1951,3,20,-0.322
1951,3,21,-0.654
1951,3,22,-0.817
1951,3,23,-0.427
1951,3,24,0.007
1951,3,25,0.164
1951,3,26,0.084
1951,3,27,0.110
1951,3,28,0.433
1951,3,29,0.679
1951,3,30,0.745
1951,3,31,0.733
1951,4,1,0.855
1951,4,2,1.067
1951,4,3,0.932
1951,4,4,0.804
1951,4,5,0.628
1951,4,6,0.891
1951,4,7,1.149
1951,4,8,0.957
1951,4,9,0.495
1951,4,10,0.350
1951,4,11,0.329
1951,4,12,0.332
1951,4,13,0.364
1951,4,14,0.314
1951,4,15,0.122
1951,4,16,0.100
1951,4,17,0.116
1951,4,18,0.152
1951,4,19,0.047
1951,4,20,0.011
1951,4,21,-0.455
1951,4,22,-0.680
1951,4,23,-0.605
1951,4,24,-0.562
1951,4,25,-0.330
1951,4,26,-0.141
1951,4,27,0.007
1951,4,28,-0.106
1951,4,29,0.207
1951,4,30,0.858
1951,5,1,0.840
1951,5,2,0.791
1951,5,3,0.977
1951,5,4,1.202
1951,5,5,1.655
1951,5,6,1.449
1951,5,7,1.075
1951,5,8,0.768
1951,5,9,0.696
1951,5,10,0.500
1951,5,11,0.328
1951,5,12,0.404
1951,5,13,0.728
1951,5,14,1.112
1951,5,15,1.047
1951,5,16,1.006
1951,5,17,1.182
1951,5,18,1.261
1951,5,19,0.782
1951,5,20,0.657
1951,5,21,0.713
1951,5,22,0.291
1951,5,23,-0.076
1951,5,24,-0.156
1951,5,25,-0.030
1951,5,26,-0.124
1951,5,27,-0.215
1951,5,28,-0.235
1951,5,29,-0.264
1951,5,30,-0.231
1951,5,31,-0.436
1951,6,1,-0.501
1951,6,2,-0.834
1951,6,3,-0.927
1951,6,4,-0.533
1951,6,5,-0.159
1951,6,6,0.188
1951,6,7,0.809
1951,6,8,1.178
1951,6,9,0.892
1951,6,10,0.436
1951,6,11,0.378
1951,6,12,0.759
1951,6,13,0.864
1951,6,14,0.174
1951,6,15,-0.334
1951,6,16,-0.388
1951,6,17,-0.810
1951,6,18,-1.592
1951,6,19,-1.448
1951,6,20,-1.241
1951,6,21,-1.665
1951,6,22,-1.772
1951,6,23,-1.510
1951,6,24,-1.585
1951,6,25,-1.736
1951,6,26,-0.993
1951,6,27,-0.160
1951,6,28,0.354
1951,6,29,0.217
1951,6,30,-0.145
1951,7,1,-0.427
1951,7,2,-0.516
1951,7,3,-0.345
1951,7,4,-0.145
1951,7,5,-0.093
1951,7,6,-0.648
1951,7,7,-0.912
1951,7,8,-0.871
1951,7,9,-1.179
1951,7,10,-1.249
1951,7,11,-1.019
1951,7,12,-0.245
1951,7,13,0.671
1951,7,14,1.262
1951,7,15,1.085
1951,7,16,0.605
1951,7,17,0.322
1951,7,18,0.284
1951,7,19,-0.043
1951,7,20,-0.756
1951,7,21,-0.837
1951,7,22,0.018
1951,7,23,0.362
1951,7,24,0.025
1951,7,25,-0.528
1951,7,26,-0.771
1951,7,27,-0.788
1951,7,28,-0.876
1951,7,29,-0.509
1951,7,30,0.097
1951,7,31,0.608
1951,8,1,0.289
1951,8,2,-0.051
1951,8,3,-0.103
1951,8,4,0.087
1951,8,5,0.451
1951,8,6,0.866
1951,8,7,0.720
1951,8,8,0.475
1951,8,9,0.635
1951,8,10,0.822
1951,8,11,0.436
1951,8,12,0.098
1951,8,13,-0.116
1951,8,14,-0.202
1951,8,15,-0.224
1951,8,16,-0.236
1951,8,17,-0.314
1951,8,18,0.026
1951,8,19,0.182
1951,8,20,-0.245
1951,8,21,-0.524
1951,8,22,-0.378
1951,8,23,-0.223
1951,8,24,0.082
1951,8,25,0.367
1951,8,26,0.181
1951,8,27,0.166
1951,8,28,0.158
1951,8,29,0.156
1951,8,30,0.207
1951,8,31,0.108
1951,9,1,0.039
1951,9,2,0.027
1951,9,3,-0.186
1951,9,4,-0.331
1951,9,5,-0.239
1951,9,6,0.029
1951,9,7,0.518
1951,9,8,1.051
1951,9,9,1.126
1951,9,10,0.845
1951,9,11,0.972
1951,9,12,0.861
1951,9,13,0.499
1951,9,14,0.157
1951,9,15,0.201
1951,9,16,0.166
1951,9,17,0.325
1951,9,18,0.472
1951,9,19,0.507
1951,9,20,0.417
1951,9,21,0.276
1951,9,22,0.158
1951,9,23,-0.054
1951,9,24,-0.417
1951,9,25,-1.071
1951,9,26,-1.718
1951,9,27,-2.604
1951,9,28,-2.751
1951,9,29,-2.345
1951,9,30,-1.769
1951,10,1,0.147
1951,10,2,0.744
1951,10,3,1.236
1951,10,4,1.299
1951,10,5,1.693
1951,10,6,1.803
1951,10,7,1.675
1951,10,8,1.478
1951,10,9,1.462
1951,10,10,1.383
1951,10,11,1.094
1951,10,12,0.521
1951,10,13,-0.194
1951,10,14,-0.755
1951,10,15,-0.801
1951,10,16,-0.948
1951,10,17,-0.919
1951,10,18,-0.276
1951,10,19,0.200
1951,10,20,-0.042
1951,10,21,-0.382
1951,10,22,-0.654
1951,10,23,-0.718
1951,10,24,-0.498
1951,10,25,-0.506
1951,10,26,-0.386
1951,10,27,-0.296
1951,10,28,-0.108
1951,10,29,0.052
1951,10,30,0.113
1951,10,31,0.248
1951,11,1,0.834
1951,11,2,1.204
1951,11,3,0.913
1951,11,4,0.632
1951,11,5,0.570
1951,11,6,0.684
1951,11,7,0.737
1951,11,8,0.423
1951,11,9,0.098
1951,11,10,-0.007
1951,11,11,-0.164
1951,11,12,-0.525
1951,11,13,-0.644
1951,11,14,-0.584
1951,11,15,-0.434
1951,11,16,-0.198
1951,11,17,0.166
1951,11,18,0.463
1951,11,19,0.507
1951,11,20,0.237
1951,11,21,-0.301
1951,11,22,-0.787
1951,11,23,-0.758
1951,11,24,-0.496
1951,11,25,-0.075
1951,11,26,0.176
1951,11,27,0.286
1951,11,28,0.240
1951,11,29,0.302
1951,11,30,0.427
1951,12,1,0.125
1951,12,2,0.244
1951,12,3,0.286
1951,12,4,0.116
1951,12,5,-0.266
1951,12,6,-0.282
1951,12,7,-0.178
1951,12,8,-0.133
1951,12,9,-0.127
1951,12,10,-0.085
1951,12,11,-0.144
1951,12,12,-0.545
1951,12,13,-0.812
1951,12,14,-0.992
1951,12,15,-1.140
1951,12,16,-0.852
1951,12,17,-0.421
1951,12,18,-0.398
1951,12,19,-0.430
1951,12,20,-0.375
1951,12,21,-0.409
1951,12,22,-0.587
1951,12,23,-0.895
1951,12,24,-1.114
1951,12,25,-1.321
1951,12,26,-1.181
1951,12,27,-1.060
1951,12,28,-1.306
1951,12,29,-1.521
1951,12,30,-1.564
1951,12,31,-1.564
1952,1,1,-1.484
1952,1,2,-1.436
1952,1,3,-1.256
1952,1,4,-1.254
1952,1,5,-1.239
1952,1,6,-1.324
1952,1,7,-1.618
1952,1,8,-1.699
1952,1,9,-1.679
1952,1,10,-1.704
1952,1,11,-1.892
1952,1,12,-1.989
1952,1,13,-2.034
1952,1,14,-1.812
1952,1,15,-1.731
1952,1,16,-1.838
1952,1,17,-1.961
1952,1,18,-1.485
1952,1,19,-1.168
1952,1,20,-0.965
1952,1,21,-0.563
1952,1,22,-0.406
1952,1,23,-0.366
1952,1,24,-0.370
1952,1,25,-0.629
1952,1,26,-0.473
1952,1,27,0.246
1952,1,28,0.881
1952,1,29,1.049
1952,1,30,0.667
1952,1,31,0.377
1952,2,1,0.327
1952,2,2,0.254
1952,2,3,0.418
1952,2,4,0.611
1952,2,5,0.956
1952,2,6,0.960
1952,2,7,0.687
1952,2,8,0.429
1952,2,9,0.295
1952,2,10,0.140
1952,2,11,0.181
1952,2,12,0.398
1952,2,13,0.463
1952,2,14,0.417
1952,2,15,0.204
1952,2,16,-0.027
1952,2,17,-0.310
1952,2,18,-0.479
1952,2,19,-0.504
1952,2,20,-0.446
1952,2,21,-0.108
1952,2,22,0.401
1952,2,23,0.752
1952,2,24,1.204
1952,2,25,1.408
1952,2,26,1.357
1952,2,27,1.078
1952,2,28,0.882
1952,2,29,0.696
1952,3,1,-0.755
1952,3,2,-0.927
1952,3,3,-0.773
1952,3,4,-0.392
1952,3,5,-0.138
1952,3,6,0.104
1952,3,7,0.515
1952,3,8,0.495
1952,3,9,0.185
1952,3,10,-0.121
1952,3,11,-0.311
1952,3,12,-0.532
1952,3,13,-0.506
1952,3,14,-0.419
1952,3,15,-0.451
1952,3,16,-0.273
1952,3,17,-0.017
1952,3,18,0.093
1952,3,19,0.083
1952,3,20,-0.026
1952,3,21,0.169
1952,3,22,0.369
1952,3,23,-0.019
1952,3,24,-0.250
1952,3,25,-0.335
1952,3,26,-0.316
1952,3,27,-0.146
1952,3,28,-0.073
1952,3,29,-0.353
1952,3,30,-0.457
1952,3,31,-0.223
1952,4,1,0.112
1952,4,2,0.303
1952,4,3,0.341
1952,4,4,0.417
1952,4,5,0.511
1952,4,6,0.437
1952,4,7,0.295
1952,4,8,0.270
1952,4,9,0.300
1952,4,10,0.175
1952,4,11,-0.122
1952,4,12,-0.150
1952,4,13,0.137
1952,4,14,0.547
1952,4,15,0.974
1952,4,16,1.284
1952,4,17,0.937
1952,4,18,0.596
1952,4,19,0.337
1952,4,20,0.484
1952,4,21,0.482
1952,4,22,0.006
1952,4,23,0.101
1952,4,24,0.893
1952,4,25,1.367
1952,4,26,1.434
1952,4,27,1.142
1952,4,28,0.892
1952,4,29,0.588
1952,4,30,0.141
1952,5,1,-0.242
1952,5,2,-0.446
1952,5,3,-0.704
1952,5,4,-1.003
1952,5,5,-1.144
1952,5,6,-1.237
1952,5,7,-1.073
1952,5,8,-0.746
1952,5,9,-0.262
1952,5,10,0.432
1952,5,11,0.711
1952,5,12,1.042
1952,5,13,0.803
1952,5,14,0.405
1952,5,15,0.257
1952,5,16,0.120
1952,5,17,-0.276
1952,5,18,-0.932
1952,5,19,-1.036
1952,5,20,-1.004
1952,5,21,-0.818
1952,5,22,-0.600
1952,5,23,-0.557
1952,5,24,-0.434
1952,5,25,-0.121
1952,5,26,0.312
1952,5,27,0.653
1952,5,28,0.534
1952,5,29,0.186
1952,5,30,0.632
1952,5,31,0.918
1952,6,1,1.051
1952,6,2,0.719
1952,6,3,0.670
1952,6,4,0.600
1952,6,5,0.409
1952,6,6,0.063
1952,6,7,-0.200
1952,6,8,-0.324
1952,6,9,-0.292
1952,6,10,0.339
1952,6,11,-0.088
1952,6,12,-0.917
1952,6,13,-1.272
1952,6,14,-1.217
1952,6,15,-0.996
1952,6,16,-0.849
1952,6,17,-0.470
1952,6,18,-0.160
1952,6,19,-0.016
1952,6,20,0.527
1952,6,21,0.942
1952,6,22,1.059
1952,6,23,0.887
1952,6,24,0.543
1952,6,25,0.662
1952,6,26,0.627
1952,6,27,0.374
1952,6,28,0.272
1952,6,29,0.570
1952,6,30,0.387
1952,7,1,-0.061
1952,7,2,0.084
1952,7,3,0.311
1952,7,4,0.302
1952,7,5,0.452
1952,7,6,0.530
1952,7,7,0.175
1952,7,8,-0.699
1952,7,9,-1.286
1952,7,10,-1.178
1952,7,11,-1.177
1952,7,12,-0.716
1952,7,13,-0.050
1952,7,14,-0.478
1952,7,15,-1.513
1952,7,16,-1.838
1952,7,17,-1.423
1952,7,18,-1.107
1952,7,19,-0.948
1952,7,20,-0.935
1952,7,21,-1.254
1952,7,22,-0.993
1952,7,23,-0.883
1952,7,24,-0.672
1952,7,25,-0.218
1952,7,26,-0.128
1952,7,27,-0.259
1952,7,28,-0.566
1952,7,29,-0.995
1952,7,30,-1.052
1952,7,31,-0.418
1952,8,1,0.110
1952,8,2,-0.056
1952,8,3,-0.423
1952,8,4,-0.042
1952,8,5,0.580
1952,8,6,0.984
1952,8,7,0.638
1952,8,8,0.664
1952,8,9,0.511
1952,8,10,0.095
1952,8,11,-0.330
1952,8,12,0.067
1952,8,13,0.521
1952,8,14,0.683
1952,8,15,0.530
1952,8,16,0.332
1952,8,17,0.086
1952,8,18,0.069
1952,8,19,0.535
1952,8,20,0.985
1952,8,21,0.895
1952,8,22,0.352
1952,8,23,0.189
1952,8,24,0.370
1952,8,25,0.452
1952,8,26,0.469
1952,8,27,0.457
1952,8,28,0.578
1952,8,29,0.602
1952,8,30,0.488
1952,8,31,-0.041
1952,9,1,-0.522
1952,9,2,-0.440
1952,9,3,-0.220
1952,9,4,-0.196
1952,9,5,-0.108
1952,9,6,-0.119
1952,9,7,-0.082
1952,9,8,-0.002
1952,9,9,0.210
1952,9,10,0.326
1952,9,11,0.187
1952,9,12,0.524
1952,9,13,0.884
1952,9,14,0.950
1952,9,15,0.756
1952,9,16,0.547
1952,9,17,-0.196
1952,9,18,-0.704
1952,9,19,-0.875
1952,9,20,-0.108
1952,9,21,0.627
1952,9,22,0.564
1952,9,23,0.542
1952,9,24,0.626
1952,9,25,0.671
1952,9,26,0.511
1952,9,27,0.398
1952,9,28,0.132
1952,9,29,-0.295
1952,9,30,-0.285
1952,10,1,0.476
1952,10,2,0.403
1952,10,3,0.415
1952,10,4,1.083
1952,10,5,1.427
1952,10,6,0.951
1952,10,7,0.478
1952,10,8,0.431
1952,10,9,0.577
1952,10,10,0.449
1952,10,11,-0.346
1952,10,12,-0.920
1952,10,13,-1.404
1952,10,14,-0.981
1952,10,15,-0.438
1952,10,16,-0.241
1952,10,17,-0.283
1952,10,18,0.313
1952,10,19,1.013
1952,10,20,1.562
1952,10,21,1.098
1952,10,22,0.722
1952,10,23,0.511
1952,10,24,0.541
1952,10,25,0.564
1952,10,26,0.318
1952,10,27,0.486
1952,10,28,0.939
1952,10,29,0.884
1952,10,30,0.296
1952,10,31,0.205
1952,11,1,0.184
1952,11,2,0.287
1952,11,3,0.562
1952,11,4,0.670
1952,11,5,0.577
1952,11,6,0.584
1952,11,7,0.559
1952,11,8,0.939
1952,11,9,1.222
1952,11,10,1.317
1952,11,11,1.035
1952,11,12,0.884
1952,11,13,0.610
1952,11,14,0.253
1952,11,15,0.465
1952,11,16,0.684
1952,11,17,0.531
1952,11,18,0.681
1952,11,19,0.887
1952,11,20,0.958
1952,11,21,0.758
1952,11,22,0.476
1952,11,23,0.422
1952,11,24,0.249
1952,11,25,0.073
1952,11,26,-0.060
1952,11,27,-0.252
1952,11,28,-0.581
1952,11,29,-0.544
1952,11,30,-0.236
1952,12,1,-0.312
1952,12,2,-0.296
1952,12,3,-0.294
1952,12,4,-0.062
1952,12,5,0.279
1952,12,6,0.405
1952,12,7,0.331
1952,12,8,0.342
1952,12,9,0.510
1952,12,10,0.514
1952,12,11,0.357
1952,12,12,0.613
1952,12,13,0.958
1952,12,14,0.875
1952,12,15,0.396
1952,12,16,0.059
1952,12,17,0.005
1952,12,18,0.117
1952,12,19,0.253
1952,12,20,0.411
1952,12,21,0.470
1952,12,22,0.677
1952,12,23,1.022
1952,12,24,0.872
1952,12,25,0.732
1952,12,26,0.692
1952,12,27,0.679
1952,12,28,0.874
1952,12,29,0.958
1952,12,30,1.085
1952,12,31,1.035
1953,1,1,1.053
1953,1,2,1.196
1953,1,3,1.233
1953,1,4,1.434
1953,1,5,1.271
1953,1,6,0.526
1953,1,7,-0.494
1953,1,8,-0.760
1953,1,9,-0.419
1953,1,10,-0.220
1953,1,11,-0.111
1953,1,12,-0.016
1953,1,13,0.184
1953,1,14,0.370
1953,1,15,0.501
1953,1,16,0.489
1953,1,17,0.489
1953,1,18,0.395
1953,1,19,0.405
1953,1,20,0.373
1953,1,21,0.296
1953,1,22,0.280
1953,1,23,0.173
1953,1,24,-0.048
1953,1,25,-0.220
1953,1,26,-0.428
1953,1,27,-0.377
1953,1,28,-0.062
1953,1,29,0.354
1953,1,30,0.685
1953,1,31,1.030
1953,2,1,1.111
1953,2,2,1.144
1953,2,3,1.255
1953,2,4,1.163
1953,2,5,1.051
1953,2,6,0.891
1953,2,7,0.805
1953,2,8,0.722
1953,2,9,0.763
1953,2,10,0.798
1953,2,11,0.911
1953,2,12,0.934
1953,2,13,0.993
1953,2,14,0.774
1953,2,15,0.452
1953,2,16,0.411
1953,2,17,0.534
1953,2,18,0.625
1953,2,19,0.893
1953,2,20,0.913
1953,2,21,0.813
1953,2,22,0.817
1953,2,23,0.971
1953,2,24,0.988
1953,2,25,1.020
1953,2,26,0.796
1953,2,27,0.464
1953,2,28,0.037
1953,3,1,-1.177
1953,3,2,-1.009
1953,3,3,-0.874
1953,3,4,-0.798
1953,3,5,-0.856
1953,3,6,-0.918
1953,3,7,-0.966
1953,3,8,-0.815
1953,3,9,-0.551
1953,3,10,-0.487
1953,3,11,-0.366
1953,3,12,-0.192
1953,3,13,-0.022
1953,3,14,0.346
1953,3,15,0.406
1953,3,16,0.393
1953,3,17,0.320
1953,3,18,0.147
1953,3,19,0.278
1953,3,20,0.435
1953,3,21,0.705
1953,3,22,0.715
1953,3,23,0.626
1953,3,24,0.713
1953,3,25,0.665
1953,3,26,0.684
1953,3,27,0.639
1953,3,28,0.685
1953,3,29,1.024
1953,3,30,1.008
1953,3,31,0.931
1953,4,1,0.964
1953,4,2,1.311
1953,4,3,1.505
1953,4,4,1.418
1953,4,5,1.043
1953,4,6,0.621
1953,4,7,0.440
1953,4,8,0.159
1953,4,9,-0.031
1953,4,10,-0.396
1953,4,11,-0.490
1953,4,12,-0.645
1953,4,13,-0.686
1953,4,14,-0.329
1953,4,15,-0.017
1953,4,16,0.185
1953,4,17,0.426
1953,4,18,0.755
1953,4,19,0.988
1953,4,20,1.160
1953,4,21,1.001
1953,4,22,0.551
1953,4,23,0.512
1953,4,24,0.981
1953,4,25,1.284
1953,4,26,1.384
1953,4,27,1.413
1953,4,28,1.376
1953,4,29,1.389
