Year,Month,Day,Daily AO Value
1950,4,5,1.334
1950,4,6,0.773
1950,4,7,0.612
1950,4,8,1.278
1950,4,9,1.244
1950,4,10,0.608
1950,4,11,-0.255
1950,4,12,-0.728
1950,4,13,0.101
1950,4,14,0.846
1950,4,15,1.525
1950,4,16,1.351
1950,4,17,0.816
1950,4,18,-0.038
1950,4,19,-0.119
1950,4,20,0.526
1950,4,21,0.856
1950,4,22,0.980
1950,4,23,0.478
1950,4,24,-0.068
1950,4,25,-0.742
1950,4,26,-1.341
1950,4,27,-1.318
1950,4,28,-1.017
1950,4,29,-0.433
1950,4,30,0.177
1950,5,1,0.429
1950,5,2,0.318
1950,5,3,0.179
1950,5,4,0.086
1950,5,5,-0.368
1950,5,6,-0.742
1950,5,7,-1.004
1950,5,8,-0.763
1950,5,9,-0.407
1950,5,10,0.194
1950,5,11,0.366
1950,5,12,-0.052
1950,5,13,-0.495
1950,5,14,-0.900
1950,5,15,-1.539
1950,5,16,-1.748
1950,5,17,-1.608
1950,5,18,-1.050
1950,5,19,-0.539
1950,5,20,-0.201
1950,5,21,-0.127
1950,5,22,0.036
1950,5,23,0.247
1950,5,24,0.347
1950,5,25,0.850
1950,5,26,1.765
1950,5,27,1.981
1950,5,28,1.761
1950,5,29,1.876
1950,5,30,1.747
1950,5,31,1.496
1950,6,1,1.216
1950,6,2,1.002
1950,6,3,1.000
1950,6,4,1.447
1950,6,5,1.821
1950,6,6,2.091
1950,6,7,2.517
1950,6,8,2.764
1950,6,9,2.543
1950,6,10,2.181
1950,6,11,1.402
1950,6,12,0.784
1950,6,13,0.442
1950,6,14,0.035
1950,6,15,-0.009
1950,6,16,0.044
1950,6,17,0.041
1950,6,18,-0.132
1950,6,19,-0.131
1950,6,20,-0.441
1950,6,21,-0.360
1950,6,22,-0.161
1950,6,23,-0.370
1950,6,24,-0.661
1950,6,25,-1.066
1950,6,26,-1.079
1950,6,27,-0.590
1950,6,28,-0.408
1950,6,29,-0.305
1950,6,30,-0.037
1950,7,1,0.206
1950,7,2,-0.061
1950,7,3,-0.406
1950,7,4,-0.659
1950,7,5,-1.045
1950,7,6,-1.138
1950,7,7,-0.904
1950,7,8,-0.857
1950,7,9,-0.754
1950,7,10,-0.248
1950,7,11,0.087
1950,7,12,-0.074
1950,7,13,-0.462
1950,7,14,-0.723
1950,7,15,-1.196
1950,7,16,-1.512
1950,7,17,-1.406
1950,7,18,-1.495
1950,7,19,-1.525
1950,7,20,-1.538
1950,7,21,-1.548
1950,7,22,-1.254
1950,7,23,-1.012
1950,7,24,-0.725
1950,7,25,-0.360
1950,7,26,-0.207
1950,7,27,-0.454
1950,7,28,-0.806
1950,7,29,-0.674
1950,7,30,-0.452
1950,7,31,-0.791
1950,8,1,-0.747
1950,8,2,-0.416
1950,8,3,-0.327
1950,8,4,-0.529
1950,8,5,-0.660
1950,8,6,-0.456
1950,8,7,-0.858
1950,8,8,-0.971
1950,8,9,-0.397
1950,8,10,0.432
1950,8,11,0.862
1950,8,12,0.907
1950,8,13,0.677
1950,8,14,0.452
1950,8,15,0.134
1950,8,16,-0.590
1950,8,17,-1.162
1950,8,18,-1.493
1950,8,19,-1.841
1950,8,20,-1.984
1950,8,21,-2.191
1950,8,22,-2.296
1950,8,23,-2.346
1950,8,24,-2.087
1950,8,25,-2.089
1950,8,26,-2.081
1950,8,27,-1.437
1950,8,28,-0.917
1950,8,29,-0.618
1950,8,30,-0.237
1950,8,31,-0.180
1950,9,1,-0.184
1950,9,2,0.182
1950,9,3,0.512
1950,9,4,0.504
1950,9,5,0.548
1950,9,6,0.579
1950,9,7,0.451
1950,9,8,0.168
1950,9,9,0.167
1950,9,10,0.336
1950,9,11,0.656
1950,9,12,0.963
1950,9,13,1.101
1950,9,14,0.790
1950,9,15,0.385
1950,9,16,0.104
1950,9,17,-0.071
1950,9,18,0.404
1950,9,19,0.539
1950,9,20,0.062
1950,9,21,-0.356
1950,9,22,-0.929
1950,9,23,-0.930
1950,9,24,-0.517
1950,9,25,-0.282
1950,9,26,0.771
1950,9,27,1.796
1950,9,28,1.760
1950,9,29,0.828
1950,9,30,0.018
1950,10,1,-0.405
1950,10,2,-0.415
1950,10,3,-0.269
1950,10,4,-0.629
1950,10,5,-0.517
1950,10,6,-0.338
1950,10,7,0.346
1950,10,8,0.812
1950,10,9,1.176
1950,10,10,1.255
1950,10,11,1.001
1950,10,12,0.715
1950,10,13,0.080
1950,10,14,-0.619
1950,10,15,-0.667
1950,10,16,0.039
1950,10,17,0.419
1950,10,18,0.138
1950,10,19,-0.568
1950,10,20,-0.898
1950,10,21,-1.332
1950,10,22,-1.214
1950,10,23,-0.560
1950,10,24,-0.327
1950,10,25,-0.510
1950,10,26,-1.262
1950,10,27,-1.776
1950,10,28,-1.300
1950,10,29,-0.852
1950,10,30,-1.157
1950,10,31,-1.698
1950,11,1,-2.004
1950,11,2,-2.327
1950,11,3,-2.621
1950,11,4,-1.680
1950,11,5,-1.056
1950,11,6,-0.521
1950,11,7,1.077
1950,11,8,1.245
1950,11,9,0.466
1950,11,10,0.346
1950,11,11,0.730
1950,11,12,2.487
1950,11,13,2.604
1950,11,14,1.537
1950,11,15,0.243
1950,11,16,-0.135
1950,11,17,-0.020
1950,11,18,-0.895
1950,11,19,-1.902
1950,11,20,-3.041
1950,11,21,-3.113
1950,11,22,-2.661
1950,11,23,-2.093
1950,11,24,-1.234
1950,11,25,-0.774
1950,11,26,-0.863
1950,11,27,-0.683
1950,11,28,0.402
1950,11,29,1.112
1950,11,30,0.468
1950,12,1,-0.080
1950,12,2,-0.579
1950,12,3,-0.625
1950,12,4,-0.751
1950,12,5,-0.518
1950,12,6,0.781
1950,12,7,0.732
1950,12,8,-0.222
1950,12,9,-0.187
1950,12,10,0.201
1950,12,11,0.046
1950,12,12,-0.161
1950,12,13,-0.642
1950,12,14,-1.739
1950,12,15,-2.265
1950,12,16,-2.268
1950,12,17,-2.363
1950,12,18,-1.884
1950,12,19,-2.172
1950,12,20,-2.367
1950,12,21,-2.777
1950,12,22,-3.806
1950,12,23,-4.153
1950,12,24,-4.334
1950,12,25,-4.182
1950,12,26,-4.300
1950,12,27,-4.353
1950,12,28,-3.842
1950,12,29,-3.356
1950,12,30,-2.906
1950,12,31,-2.575
1951,1,1,-2.718
1951,1,2,-2.694
1951,1,3,-2.322
1951,1,4,-2.279
1951,1,5,-1.994
1951,1,6,-1.089
1951,1,7,-0.039
1951,1,8,0.526
1951,1,9,0.695
1951,1,10,1.489
1951,1,11,2.129
1951,1,12,1.848
1951,1,13,1.861
1951,1,14,1.366
1951,1,15,0.602
1951,1,16,0.931
1951,1,17,1.890
1951,1,18,1.189
1951,1,19,-0.151
1951,1,20,-0.585
1951,1,21,-0.218
1951,1,22,0.279
1951,1,23,0.980
1951,1,24,1.159
1951,1,25,0.185
1951,1,26,-0.711
1951,1,27,-1.664
1951,1,28,-1.972
1951,1,29,-0.855
1951,1,30,-0.271
1951,1,31,-0.110
1951,2,1,0.216
1951,2,2,0.554
1951,2,3,0.831
1951,2,4,0.643
1951,2,5,-0.195
1951,2,6,-0.797
1951,2,7,-1.283
1951,2,8,-1.550
1951,2,9,-2.266
1951,2,10,-1.425
1951,2,11,-0.974
1951,2,12,-1.265
1951,2,13,-1.295
1951,2,14,-1.144
1951,2,15,-0.400
1951,2,16,0.386
1951,2,17,1.127
1951,2,18,1.576
1951,2,19,0.762
1951,2,20,-0.577
1951,2,21,-1.167
1951,2,22,-1.270
1951,2,23,-0.770
1951,2,24,-0.582
1951,2,25,-0.589
1951,2,26,-0.301
1951,2,27,0.101
1951,2,28,0.852
1951,3,1,1.415
1951,3,2,1.097
1951,3,3,0.741
1951,3,4,-0.443
1951,3,5,-1.555
1951,3,6,-2.736
1951,3,7,-4.020
1951,3,8,-4.330
1951,3,9,-3.868
1951,3,10,-3.970
1951,3,11,-3.865
1951,3,12,-3.095
1951,3,13,-2.805
1951,3,14,-2.145
1951,3,15,-1.541
1951,3,16,-1.977
1951,3,17,-2.661
1951,3,18,-2.569
1951,3,19,-2.151
1951,3,20,-1.893
1951,3,21,-1.819
1951,3,22,-1.849
1951,3,23,-1.455
1951,3,24,-1.015
1951,3,25,-0.740
1951,3,26,-0.376
1951,3,27,-0.883
1951,3,28,-1.488
1951,3,29,-1.969
1951,3,30,-2.034
1951,3,31,-1.830
1951,4,1,-1.584
1951,4,2,-0.972
1951,4,3,-0.431
1951,4,4,-0.244
1951,4,5,-0.340
1951,4,6,-0.766
1951,4,7,-0.500
1951,4,8,-0.235
1951,4,9,-0.373
1951,4,10,-0.719
1951,4,11,-0.888
1951,4,12,-0.929
1951,4,13,-1.064
1951,4,14,-1.569
1951,4,15,-1.890
1951,4,16,-2.128
1951,4,17,-2.062
1951,4,18,-1.711
1951,4,19,-1.200
1951,4,20,-0.597
1951,4,21,-0.366
1951,4,22,0.081
1951,4,23,0.397
1951,4,24,-0.163
1951,4,25,-0.413
1951,4,26,-0.773
1951,4,27,-0.482
1951,4,28,0.034
1951,4,29,0.136
1951,4,30,-0.718
1951,5,1,-1.249
1951,5,2,-1.834
1951,5,3,-2.192
1951,5,4,-2.657
1951,5,5,-2.581
1951,5,6,-2.085
1951,5,7,-1.427
1951,5,8,-0.945
1951,5,9,-0.810
1951,5,10,-0.922
1951,5,11,-0.718
1951,5,12,-0.925
1951,5,13,-1.090
1951,5,14,-0.342
1951,5,15,0.321
1951,5,16,0.368
1951,5,17,0.300
1951,5,18,0.590
1951,5,19,0.399
1951,5,20,-0.119
1951,5,21,-0.518
1951,5,22,-0.489
1951,5,23,-0.558
1951,5,24,-0.549
1951,5,25,-0.198
1951,5,26,-0.625
1951,5,27,-1.058
1951,5,28,-1.322
1951,5,29,-1.019
1951,5,30,-0.852
1951,5,31,-0.691
1951,6,1,-0.743
1951,6,2,-0.722
1951,6,3,-1.134
1951,6,4,-1.587
1951,6,5,-1.953
1951,6,6,-2.218
1951,6,7,-2.412
1951,6,8,-2.470
1951,6,9,-2.317
1951,6,10,-2.096
1951,6,11,-1.772
1951,6,12,-1.304
1951,6,13,-0.609
1951,6,14,0.277
1951,6,15,0.886
1951,6,16,0.918
1951,6,17,0.776
1951,6,18,0.714
1951,6,19,0.496
1951,6,20,-0.144
1951,6,21,-0.422
1951,6,22,-0.712
1951,6,23,-0.835
1951,6,24,-0.727
1951,6,25,-0.716
1951,6,26,-1.061
1951,6,27,-1.418
1951,6,28,-1.565
1951,6,29,-1.099
1951,6,30,-0.588
1951,7,1,-0.244
1951,7,2,0.057
1951,7,3,-0.009
1951,7,4,-0.076
1951,7,5,0.011
1951,7,6,0.334
1951,7,7,0.312
1951,7,8,0.138
1951,7,9,0.059
1951,7,10,0.259
1951,7,11,0.431
1951,7,12,0.273
1951,7,13,0.232
1951,7,14,0.229
1951,7,15,0.390
1951,7,16,0.588
1951,7,17,0.742
1951,7,18,0.741
1951,7,19,0.434
1951,7,20,-0.116
1951,7,21,-0.490
1951,7,22,-0.320
1951,7,23,-0.047
1951,7,24,-0.019
1951,7,25,-0.166
1951,7,26,-0.244
1951,7,27,-0.253
1951,7,28,-0.180
1951,7,29,-0.127
1951,7,30,-0.065
1951,7,31,-0.187
1951,8,1,0.048
1951,8,2,0.024
1951,8,3,-0.293
1951,8,4,-0.547
1951,8,5,-0.869
1951,8,6,-0.739
1951,8,7,-0.674
1951,8,8,-0.858
1951,8,9,-0.739
1951,8,10,-0.409
1951,8,11,-0.249
1951,8,12,-0.042
1951,8,13,0.131
1951,8,14,0.382
1951,8,15,0.597
1951,8,16,0.461
1951,8,17,0.405
1951,8,18,0.320
1951,8,19,0.256
1951,8,20,0.078
1951,8,21,-0.230
1951,8,22,-0.209
1951,8,23,-0.222
1951,8,24,-0.245
1951,8,25,-0.672
1951,8,26,-1.062
1951,8,27,-1.294
1951,8,28,-1.394
1951,8,29,-1.262
1951,8,30,-1.040
1951,8,31,-0.941
1951,9,1,-1.025
1951,9,2,-0.977
1951,9,3,-0.623
1951,9,4,-0.170
1951,9,5,-0.083
1951,9,6,-0.229
1951,9,7,-0.805
1951,9,8,-1.418
1951,9,9,-1.730
1951,9,10,-1.348
1951,9,11,-0.686
1951,9,12,-0.366
1951,9,13,-0.616
1951,9,14,-0.727
1951,9,15,-0.378
1951,9,16,0.345
1951,9,17,0.500
1951,9,18,0.395
1951,9,19,0.247
1951,9,20,-0.179
1951,9,21,-0.254
1951,9,22,-0.601
1951,9,23,-1.020
1951,9,24,-1.318
1951,9,25,-1.248
1951,9,26,-1.169
1951,9,27,-1.473
1951,9,28,-2.038
1951,9,29,-2.405
1951,9,30,-2.264
1951,10,1,-1.815
1951,10,2,-1.560
1951,10,3,-1.475
1951,10,4,-1.259
1951,10,5,-1.060
1951,10,6,-0.580
1951,10,7,0.003
1951,10,8,0.252
1951,10,9,1.075
1951,10,10,1.538
1951,10,11,1.640
1951,10,12,1.325
1951,10,13,1.068
1951,10,14,1.163
1951,10,15,0.717
1951,10,16,0.278
1951,10,17,0.112
1951,10,18,0.036
1951,10,19,0.034
1951,10,20,-0.515
1951,10,21,-1.041
1951,10,22,-0.839
1951,10,23,-0.766
1951,10,24,-0.483
1951,10,25,-0.564
1951,10,26,-0.742
1951,10,27,-0.500
1951,10,28,-0.336
1951,10,29,-0.749
1951,10,30,-0.904
1951,10,31,-0.420
1951,11,1,-0.468
1951,11,2,-0.243
1951,11,3,-0.434
1951,11,4,-1.984
1951,11,5,-2.785
1951,11,6,-1.843
1951,11,7,-0.454
1951,11,8,-0.638
1951,11,9,-1.705
1951,11,10,-1.477
1951,11,11,-0.445
1951,11,12,-0.206
1951,11,13,-0.587
1951,11,14,-0.823
1951,11,15,-0.772
1951,11,16,-0.324
1951,11,17,-0.104
1951,11,18,-0.480
1951,11,19,-0.577
1951,11,20,-0.103
1951,11,21,0.041
1951,11,22,0.118
1951,11,23,0.390
1951,11,24,1.056
1951,11,25,1.745
1951,11,26,2.702
1951,11,27,2.364
1951,11,28,1.670
1951,11,29,2.006
1951,11,30,2.371
1951,12,1,2.150
1951,12,2,1.868
1951,12,3,1.975
1951,12,4,2.506
1951,12,5,2.712
1951,12,6,1.940
1951,12,7,1.055
1951,12,8,0.938
1951,12,9,1.282
1951,12,10,1.291
1951,12,11,0.947
1951,12,12,0.856
1951,12,13,0.113
1951,12,14,0.915
1951,12,15,1.709
1951,12,16,1.059
1951,12,17,1.077
1951,12,18,2.163
1951,12,19,2.647
1951,12,20,2.513
1951,12,21,2.893
1951,12,22,3.057
1951,12,23,3.280
1951,12,24,3.474
1951,12,25,3.551
1951,12,26,2.951
1951,12,27,2.909
1951,12,28,2.361
1951,12,29,1.006
1951,12,30,1.132
1951,12,31,1.081
1952,1,1,1.462
1952,1,2,1.484
1952,1,3,1.977
1952,1,4,2.656
1952,1,5,2.747
1952,1,6,3.380
1952,1,7,3.367
1952,1,8,2.940
1952,1,9,2.686
1952,1,10,2.661
1952,1,11,1.653
1952,1,12,1.680
1952,1,13,2.270
1952,1,14,2.068
1952,1,15,2.134
1952,1,16,1.909
1952,1,17,0.399
1952,1,18,-0.753
1952,1,19,-1.161
1952,1,20,-2.028
1952,1,21,-2.844
1952,1,22,-3.376
1952,1,23,-3.566
1952,1,24,-3.254
1952,1,25,-3.016
1952,1,26,-2.216
1952,1,27,-1.498
1952,1,28,-1.529
1952,1,29,-1.292
1952,1,30,-0.335
1952,1,31,0.401
1952,2,1,0.108
1952,2,2,-0.190
1952,2,3,-0.805
1952,2,4,-1.120
1952,2,5,-1.417
1952,2,6,-1.467
1952,2,7,-1.462
1952,2,8,-1.369
1952,2,9,-0.991
1952,2,10,-1.299
1952,2,11,-2.045
1952,2,12,-2.509
1952,2,13,-2.497
1952,2,14,-2.212
1952,2,15,-1.888
1952,2,16,-1.830
1952,2,17,-2.103
1952,2,18,-2.349
1952,2,19,-1.974
1952,2,20,-1.830
1952,2,21,-1.788
1952,2,22,-1.841
1952,2,23,-1.628
1952,2,24,-1.229
1952,2,25,-1.195
1952,2,26,-1.664
1952,2,27,-2.391
1952,2,28,-2.871
1952,2,29,-3.015
1952,3,1,-2.923
1952,3,2,-2.946
1952,3,3,-3.334
1952,3,4,-3.805
1952,3,5,-3.795
1952,3,6,-3.735
1952,3,7,-2.643
1952,3,8,-1.401
1952,3,9,-0.675
1952,3,10,-0.501
1952,3,11,0.006
1952,3,12,0.000
1952,3,13,-0.796
1952,3,14,-1.290
1952,3,15,-0.816
1952,3,16,-0.630
1952,3,17,-0.684
1952,3,18,-1.022
1952,3,19,-0.800
1952,3,20,-0.966
1952,3,21,-1.595
1952,3,22,-1.705
1952,3,23,-1.775
1952,3,24,-1.756
1952,3,25,-1.797
1952,3,26,-2.313
1952,3,27,-2.738
1952,3,28,-3.123
1952,3,29,-2.372
1952,3,30,-1.920
1952,3,31,-1.748
1952,4,1,-1.640
1952,4,2,-1.007
1952,4,3,-0.011
1952,4,4,0.619
1952,4,5,0.296
1952,4,6,-0.021
1952,4,7,0.282
1952,4,8,0.542
1952,4,9,0.768
1952,4,10,1.385
1952,4,11,1.769
1952,4,12,1.345
1952,4,13,0.678
1952,4,14,-0.358
1952,4,15,-1.088
1952,4,16,-0.950
1952,4,17,0.315
1952,4,18,1.575
1952,4,19,2.086
1952,4,20,2.020
1952,4,21,1.484
1952,4,22,1.349
1952,4,23,1.468
1952,4,24,1.208
1952,4,25,1.377
1952,4,26,1.239
1952,4,27,0.696
1952,4,28,0.001
1952,4,29,-0.612
1952,4,30,-1.237
1952,5,1,-1.269
1952,5,2,-1.370
1952,5,3,-1.488
1952,5,4,-1.589
1952,5,5,-1.242
1952,5,6,-1.219
1952,5,7,-1.374
1952,5,8,-1.134
1952,5,9,-0.943
1952,5,10,-1.042
1952,5,11,-1.143
1952,5,12,-1.146
1952,5,13,-1.185
1952,5,14,-1.131
1952,5,15,-1.287
1952,5,16,-1.126
1952,5,17,-0.482
1952,5,18,0.283
1952,5,19,0.643
1952,5,20,0.844
1952,5,21,0.531
1952,5,22,0.343
1952,5,23,0.377
1952,5,24,0.294
1952,5,25,0.037
1952,5,26,-0.644
1952,5,27,-0.787
1952,5,28,-0.769
1952,5,29,-0.988
1952,5,30,-1.591
1952,5,31,-1.531
1952,6,1,-1.100
1952,6,2,-1.057
1952,6,3,-1.048
1952,6,4,-0.471
1952,6,5,0.062
1952,6,6,0.358
1952,6,7,0.557
1952,6,8,0.523
1952,6,9,0.384
1952,6,10,0.000
1952,6,11,-0.217
1952,6,12,-0.791
1952,6,13,-1.364
1952,6,14,-1.231
1952,6,15,-0.858
1952,6,16,-0.725
1952,6,17,-1.045
1952,6,18,-0.995
1952,6,19,-0.792
1952,6,20,-0.676
1952,6,21,-0.342
1952,6,22,-0.186
1952,6,23,-0.026
1952,6,24,-0.173
1952,6,25,-0.488
1952,6,26,-0.583
1952,6,27,-0.393
1952,6,28,-0.071
1952,6,29,-0.016
1952,6,30,0.006
1952,7,1,0.147
1952,7,2,0.569
1952,7,3,0.720
1952,7,4,0.684
1952,7,5,0.109
1952,7,6,-0.149
1952,7,7,-0.101
1952,7,8,0.391
1952,7,9,0.596
1952,7,10,0.192
1952,7,11,-0.030
1952,7,12,0.074
1952,7,13,0.334
1952,7,14,0.983
1952,7,15,1.402
1952,7,16,1.390
1952,7,17,1.131
1952,7,18,0.854
1952,7,19,0.629
1952,7,20,0.605
1952,7,21,0.450
1952,7,22,0.446
1952,7,23,0.269
1952,7,24,0.260
1952,7,25,-0.085
1952,7,26,-0.003
1952,7,27,0.380
1952,7,28,0.440
1952,7,29,0.064
1952,7,30,-0.500
1952,7,31,-0.800
1952,8,1,-0.756
1952,8,2,-0.852
1952,8,3,-0.975
1952,8,4,-1.123
1952,8,5,-0.861
1952,8,6,-0.578
1952,8,7,-0.447
1952,8,8,-0.739
1952,8,9,-0.865
1952,8,10,-0.774
1952,8,11,-0.593
1952,8,12,-0.176
1952,8,13,0.172
1952,8,14,0.164
1952,8,15,0.309
1952,8,16,0.524
1952,8,17,0.365
1952,8,18,-0.107
1952,8,19,-0.613
1952,8,20,-0.590
1952,8,21,-0.440
1952,8,22,0.013
1952,8,23,0.410
1952,8,24,0.165
1952,8,25,0.451
1952,8,26,1.144
1952,8,27,1.383
1952,8,28,1.354
1952,8,29,1.129
1952,8,30,0.915
1952,8,31,1.075
1952,9,1,1.288
1952,9,2,1.086
1952,9,3,0.390
1952,9,4,0.064
1952,9,5,-0.142
1952,9,6,-0.202
1952,9,7,-0.138
1952,9,8,0.070
1952,9,9,0.580
1952,9,10,0.666
1952,9,11,-0.073
1952,9,12,-0.780
1952,9,13,-0.995
1952,9,14,-1.368
1952,9,15,-1.400
1952,9,16,-0.846
1952,9,17,-0.400
1952,9,18,-0.470
1952,9,19,-0.438
1952,9,20,-0.791
1952,9,21,-0.829
1952,9,22,-0.736
1952,9,23,-0.619
1952,9,24,-0.603
1952,9,25,-0.343
1952,9,26,-0.469
1952,9,27,-0.897
1952,9,28,-1.078
1952,9,29,-0.739
1952,9,30,-0.885
1952,10,1,-1.525
1952,10,2,-1.948
1952,10,3,-1.972
1952,10,4,-2.043
1952,10,5,-2.064
1952,10,6,-0.974
1952,10,7,0.077
1952,10,8,-0.229
1952,10,9,-0.442
1952,10,10,0.356
1952,10,11,1.049
1952,10,12,1.309
1952,10,13,1.136
1952,10,14,0.416
1952,10,15,-0.116
1952,10,16,-1.092
1952,10,17,-1.442
1952,10,18,-1.469
1952,10,19,-1.538
1952,10,20,-1.526
1952,10,21,-1.165
1952,10,22,-0.581
1952,10,23,0.122
1952,10,24,0.433
1952,10,25,0.136
1952,10,26,-0.351
1952,10,27,-0.865
1952,10,28,-0.045
1952,10,29,1.019
1952,10,30,1.218
1952,10,31,1.042
1952,11,1,0.632
1952,11,2,0.305
1952,11,3,-0.116
1952,11,4,-0.242
1952,11,5,-0.463
1952,11,6,-1.166
1952,11,7,-1.980
1952,11,8,-2.312
1952,11,9,-2.029
1952,11,10,-1.818
1952,11,11,-1.970
1952,11,12,-2.099
1952,11,13,-2.181
1952,11,14,-2.611
1952,11,15,-3.059
1952,11,16,-2.680
1952,11,17,-2.103
1952,11,18,-2.128
1952,11,19,-1.993
1952,11,20,-2.215
1952,11,21,-2.950
1952,11,22,-2.721
1952,11,23,-1.968
1952,11,24,-1.920
1952,11,25,-2.607
1952,11,26,-2.960
1952,11,27,-2.576
1952,11,28,-1.638
1952,11,29,-1.595
1952,11,30,-1.552
1952,12,1,-1.805
1952,12,2,-2.029
1952,12,3,-2.121
1952,12,4,-2.132
1952,12,5,-1.868
1952,12,6,-1.311
1952,12,7,-1.108
1952,12,8,-0.527
1952,12,9,-0.375
1952,12,10,-0.510
1952,12,11,-0.973
1952,12,12,-1.674
1952,12,13,-2.372
1952,12,14,-1.468
1952,12,15,-0.243
1952,12,16,0.059
1952,12,17,-0.331
1952,12,18,0.092
1952,12,19,-0.153
1952,12,20,-1.178
1952,12,21,-2.254
1952,12,22,-2.595
1952,12,23,-2.802
1952,12,24,-2.469
1952,12,25,-2.673
1952,12,26,-3.184
1952,12,27,-3.766
1952,12,28,-3.738
1952,12,29,-3.353
1952,12,30,-3.126
1952,12,31,-2.627
1953,1,1,-2.432
1953,1,2,-1.999
1953,1,3,-2.370
1953,1,4,-2.763
1953,1,5,-3.137
1953,1,6,-2.844
1953,1,7,-2.325
1953,1,8,-1.828
1953,1,9,-1.280
1953,1,10,-1.052
1953,1,11,-1.485
1953,1,12,-1.334
1953,1,13,-0.380
1953,1,14,0.433
1953,1,15,0.596
1953,1,16,0.397
1953,1,17,0.332
1953,1,18,0.232
1953,1,19,-0.129
1953,1,20,-0.472
1953,1,21,-0.689
1953,1,22,-0.189
1953,1,23,-0.038
1953,1,24,-0.056
1953,1,25,0.019
1953,1,26,0.531
1953,1,27,0.691
1953,1,28,-0.193
1953,1,29,-1.828
1953,1,30,-2.644
1953,1,31,-2.744
1953,2,1,-3.090
1953,2,2,-3.325
1953,2,3,-3.085
1953,2,4,-2.756
1953,2,5,-2.401
1953,2,6,-1.971
1953,2,7,-1.055
1953,2,8,-0.513
1953,2,9,-1.151
1953,2,10,-2.574
1953,2,11,-3.502
1953,2,12,-3.295
1953,2,13,-2.520
1953,2,14,-1.962
1953,2,15,-1.006
1953,2,16,-0.394
1953,2,17,0.190
1953,2,18,0.824
1953,2,19,1.336
1953,2,20,2.626
1953,2,21,3.393
1953,2,22,2.827
1953,2,23,2.512
1953,2,24,2.845
1953,2,25,3.390
1953,2,26,3.516
1953,2,27,2.652
1953,2,28,1.754
1953,3,1,1.715
1953,3,2,1.989
1953,3,3,2.172
1953,3,4,2.272
1953,3,5,1.816
1953,3,6,2.730
1953,3,7,3.086
1953,3,8,2.414
1953,3,9,1.344
1953,3,10,0.978
1953,3,11,1.218
1953,3,12,1.464
1953,3,13,1.438
1953,3,14,1.176
1953,3,15,0.633
1953,3,16,0.338
1953,3,17,0.353
1953,3,18,-0.062
1953,3,19,-0.376
1953,3,20,0.123
1953,3,21,0.327
1953,3,22,-0.048
1953,3,23,-0.115
1953,3,24,0.060
1953,3,25,0.476
1953,3,26,1.234
1953,3,27,1.270
1953,3,28,0.694
1953,3,29,0.543
1953,3,30,0.552
1953,3,31,0.123
1953,4,1,-0.803
1953,4,2,-1.172
1953,4,3,-0.740
1953,4,4,-0.195
1953,4,5,-0.102
1953,4,6,-0.615
1953,4,7,-1.252
1953,4,8,-1.457
1953,4,9,-0.930
1953,4,10,-0.678
1953,4,11,-0.766
1953,4,12,-0.829
1953,4,13,-1.205
1953,4,14,-1.934
1953,4,15,-2.428
